标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
交大毕业特惠学生专属98折 精装公寓免费空调  免费健身,1718,40平方米,精装修,公寓,交大智能小区2期>金牛>交大路,交大智能小区2期,金牛,交大路
学生特惠泛悦国际家乐福 智能门锁精装修拎包入住 免费健身,2223,35平方米,精装修,公寓,电建地产泛悦国际(商住楼)>武侯>火车南站,电建地产泛悦国际(商住楼),武侯,火车南站
学生优惠专场！入住减500！ 0中介可短租可月付近地铁口D,1780,32平方米,精装修,公寓,华林南苑>成华>二仙桥,华林南苑,成华,二仙桥
独卫整租24h安保可短租月付桐梓林航空路火车南站家乐福,2635,35平方米,精装修,公寓,棕榈花园>武侯>航空路,棕榈花园,武侯,航空路
非包租公司 桐梓林泛悦国际近地铁近川大 拎包入住可押一付一,2359,30平方米,精装修,公寓,蓝色加勒比广场>武侯>川大,蓝色加勒比广场,武侯,川大
住梦计划0中介科华北路火车南站肿瘤医院家乐福近地铁近川大学生,2635,35平方米,精装修,公寓,商鼎国际>武侯>桐梓林,商鼎国际,武侯,桐梓林
通燃气套一月付无中介，天府三街5号线大源银泰软件园环球世纪城,2250,58平方米,精装修,公寓,仁美大源印象>高新区>大源,仁美大源印象,高新区,大源
冠寓 品牌公寓品质家居 落地窗采光 宜家风精装loft可短租,1869,28平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
峰度天下1室1厅1卫 2800元月 精装修,2800,68平方米,精装修,公寓,峰度天下(商住楼)>武侯>火车南站,峰度天下(商住楼),武侯,火车南站
天府三街 近地铁 免费公区 精装修 大平层,2260,25平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
实拍 孵化园 奥克斯广场精装一居室 中航枫丹国际 环球中心,2600,53平方米,精装修,公寓,奥克斯广场>高新区>金融城,奥克斯广场,高新区,金融城
0中介 精装修 家电齐全可做饭 品牌公寓 拎包入住可月租,1899,37平方米,精装修,公寓,交大花园武侯小区>武侯>五大花园,交大花园武侯小区,武侯,五大花园
西宸天街茶店子地铁口 紫宸香颂 免费空调 永辉超市 一月起租,1880,35平方米,精装修,公寓,龙湖西宸天街(商住楼)>金牛>茶店子,龙湖西宸天街(商住楼),金牛,茶店子
龙湖品牌直租！年底特惠租房 可短租 可月付 干净整洁 可健身,1850,32平方米,精装修,公寓,新城市广场>青羊>新城市广场,新城市广场,青羊,新城市广场
0中介可月付 采光通风好家具家电齐全C,1820,35平方米,精装修,公寓,V客东区>成华>SM广场,V客东区,成华,SM广场
