标题,发布时间,价格,交租方式,户型,面积,楼层,装修,类型,小区,设施
交大毕业特惠学生专属98折 精装公寓免费空调  免费健身,2020年12月10日,1718,付1押1,1室1厅1卫,40平方米,中层(共29层),精装修,公寓,交大智能小区2期>金牛>交大路,冰箱>洗衣机>热水器>宽带>沙发>可做饭>空调>衣柜>床>卫生间>智能门锁>暖气
学生特惠泛悦国际家乐福 智能门锁精装修拎包入住 免费健身,2020年12月10日,2223,付1押1,1室0厅1卫,35平方米,高层(共23层),精装修,公寓,电建地产泛悦国际(商住楼)>武侯>火车南站,冰箱>洗衣机>热水器>宽带>沙发>可做饭>空调>衣柜>床>卫生间>智能门锁
学生优惠专场！入住减500！ 0中介可短租可月付近地铁口D,2020年12月08日,1780,付1押1,1室1厅1卫,32平方米,高层(共28层),精装修,公寓,华林南苑>成华>二仙桥,冰箱>洗衣机>热水器>宽带>沙发>可做饭>空调>衣柜>床>卫生间>智能门锁
独卫整租24h安保可短租月付桐梓林航空路火车南站家乐福,2020年12月10日,2635,付1押1,1室1厅1卫,35平方米,中层(共23层),精装修,公寓,棕榈花园>武侯>航空路,冰箱>洗衣机>热水器>宽带>沙发>可做饭
非包租公司 桐梓林泛悦国际近地铁近川大 拎包入住可押一付一,2020年12月10日,2359,付1押1,1室1厅1卫,30平方米,中层(共23层),精装修,公寓,蓝色加勒比广场>武侯>川大,冰箱>洗衣机>热水器>宽带>沙发>可做饭
住梦计划0中介科华北路火车南站肿瘤医院家乐福近地铁近川大学生,2020年12月10日,2635,付1押1,1室1厅1卫,35平方米,中层(共23层),精装修,公寓,商鼎国际>武侯>桐梓林,冰箱>洗衣机>热水器>宽带>沙发>可做饭>空调>衣柜>床>卫生间>智能门锁
通燃气套一月付无中介，天府三街5号线大源银泰软件园环球世纪城,2020年12月10日,2250,付1押1,1室1厅1卫,58平方米,低层(共32层),精装修,公寓,仁美大源印象>高新区>大源,冰箱>洗衣机>热水器>宽带>沙发>油烟机>可做饭>电视>衣柜>床>卫生间>阳台
冠寓 品牌公寓品质家居 落地窗采光 宜家风精装loft可短租,2020年11月30日,1869,付1押1,1室1厅1卫,28平方米,中层(共16层),精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,冰箱>洗衣机>热水器>宽带>沙发>油烟机>燃气灶>可做饭>空调>衣柜>床>卫生间>智能门锁
峰度天下1室1厅1卫 2800元月 精装修,2020年12月10日,2800,付3押1,1室1厅1卫,68平方米,高层(共30层),精装修,公寓,峰度天下(商住楼)>武侯>火车南站,冰箱>洗衣机>热水器>宽带>沙发>油烟机>可做饭>电视>空调>衣柜>床>卫生间>智能门锁>阳台>暖气
天府三街 近地铁 免费公区 精装修 大平层,2020年12月10日,2260,付1押1,1室1厅1卫,25平方米,中层(共16层),精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,冰箱>洗衣机>热水器>宽带>沙发>可做饭>空调>衣柜>床>卫生间>智能门锁
0中介 精装修 家电齐全可做饭 品牌公寓 拎包入住可月租,2020年12月10日,1899,付1押1,1室1厅1卫,37平方米,高层(共17层),精装修,公寓,交大花园武侯小区>武侯>五大花园,冰箱>洗衣机>热水器>宽带>沙发>油烟机>可做饭>电视>空调>衣柜>床>卫生间>智能门锁
西宸天街茶店子地铁口 紫宸香颂 免费空调 永辉超市 一月起租,2020年12月10日,1880,付1押1,1室1厅1卫,35平方米,中层(共28层),精装修,公寓,龙湖西宸天街(商住楼)>金牛>茶店子,冰箱>洗衣机>热水器>宽带>沙发>油烟机>燃气灶>可做饭>电视>空调>衣柜>床>卫生间>智能门锁>阳台>暖气
